annotator	scene_index	rating	rationale
0	0	1	The lover's deaths are foretold but a note of hope is struck in the final lines.
0	1	-1	Initial comedy followed by the fight ends on a down note with Romeo professing his love for Rosaline.
0	2	0	Both Romeo and Juliet suffer from others attempting to influence their fate but no indication of their success or failure is given.
0	3	4	First appearance of the beauty of Juliet and the comic figure of the nurse.
0	4	4	Mercutio's Queen Mab speech lightens Romeo's protestations of love.
0	5	2	The first meeting of Romeo and Juliet is tempered by the discovery that they are enemies and the foreshadowing of the tragedy to come.
0	6	5	Description of love and desire between Romeo and Juliet.
0	7	5	Romeo is clearly deeply in love with Juliet.
0	8	5	The balcony scene - one of the most famous declarations of love in classic literature.
0	9	4	Friar Laurence strikes a note of caution regarding Romeo's love, but agrees to help as it will bring the families together.
0	10	5	The dynamic between the comic character of the nurse and the lover Romeo lightens the mood after several serious (albeit romantic) scenes.
0	11	5	The nurse and Juliet offers a similar dynamic to the previous scene, with the added element of the long relationship between the two.
0	12	5	The wedding scene
0	13	-5	The fight between Tybalt and Mercutio and Mercutio's death followed by Romeo killing Tybalt is a sharp shock after the romantic positivity of the first act.  Romeo's banishment means that the couple can not be together.
0	14	1	What should be a negative scene when Juliet learns of Romeo's banishment is lightened both by the bawdy banter between Juliet and the nurse and by the knowledge that they will get one night together at least.
0	15	1	Romeo's devastation is calmed by both the nurse and Friar Laurence - and in arranging for exile in Mantua the Friar seems to have a plan.
0	16	-1	The Capulets and Paris discuss Juliet's marriage but the audience knows it can never happen.
0	17	-4	Romeo leaves Juliet, and she hears she is to marry Paris.  Her response is to plan her own death, and it feels like she has no way out.
0	18	2	A scene that begins with an awkward meeting between Paris and Juliet ends with Friar Laurence detailing his plans for Romeo and Juliet to be together.
0	19	0	Juliet is lying to her father about wanting to marry Paris but little else is said in this short scene and we have no clue as to anyone's real feelings.
0	20	-2	Juliet's speech before she fakes her death contains graphic imagery which gives the scene an negative note even though we know she is not really dead.
0	21	-1	Only a few short lines foreshadowing the discovery of Juleit's body.
0	22	-3	The genuine grief of Juliet's parents at her death contrasts with an odd comic interlude between the musicians.
0	23	-4	Romeo hears news of Juliet's death and makes his own plans to die - the audience can see that love will not win out.
0	24	-4	Friar Laurence realises that his letter to Romeo has not got through.
0	25	1	This is a seemingly high rating for an ending in which both Romeo and Juliet die (and halfway through the scene it would be a -5) but the ending which reconciles the two warring households and the Prince's final words speak of hope and not despair.

1	0	0	Mundane narrative; just a prolouge
1	1	-3	They speak of violence and sadness
1	2	3	Chatter and planning
1	3	5	The comfort and friendship of the nurse
1	4	5	Bonding between friends
1	5	5	It's young love at first sight
1	6	0	Neutral Prologue
1	7	5	The feelings of love
1	8	5	Falling in love together
1	9	2	Sharing his new love with the friar
1	10	0	Chatter with friends and nurse
1	11	-3	Stigmatized for loving whom she does
1	12	-2	A warning from the friar
1	13	-5	Violence and death
1	14	-4	Juliet hears the news of the death
1	15	-2	Romeo is confused
1	16	-3	The wedding that Juliet does not want
1	17	-3	Juliet is confused
1	18	-3	Animosity about and toward marrying paris
1	19	0	Neutral chatter
1	20	-4	Administering the potion
1	21	0	Neutral chatter
1	22	-5	Juliet's "death"
1	23	-5	Hearing the "death" news and distress
1	24	4	Hope
1	25	-5	Death and sadness all around

2	0	-2	It describes the whole story and the ending is very tragic.
2	1	-2	There is a sword fight and then Romeo's depressed musings.
2	2	0	Various people discussing love does not really become positive or negative.
2	3	0	The discussion of marriage and love here is neither good or bad.
2	4	1	It i slightly positive because the characters are in good cheer.
2	5	2	The young love is positive but there is a tinge of tragedy.
2	6	2	talk of love is positive but there is a foreshadowing of the negative.
2	7	-1	Tortures of love are slightly negative.
2	8	4	The blooming of young love is beautiful.
2	9	0	Discussion of love is a mix.
2	10	0	Slightly comical give and take of conversation that is neutral in value.
2	11	2	Discussion of love and marriage is sweet.
2	12	3	The beginning of a young marriage full of hope.
2	13	-4	Mercutio's death is a big problem.
2	14	-4	Romeo is banished and Tybals is dead.  This causes a big problem for the two lovers.
2	15	-2	Romeo's banishment is negative but Juliet's summons could be positive.
2	16	-2	Planning a marriage that one party does not want.
2	17	-3	Discussion of the unwanted marriage and then the unpopular love.
2	18	0	Some depressing talk but also a way out for Juliet which is positive.
2	19	-2	Juliet lies to her father.
2	20	-1	Juliet drinks the liquid not sure if it is poision or not.
2	21	0	The wedding planning for an event that will never come.
2	22	-3	The apparent death of Juliet is sad.
2	23	-2	Romeo's reaction to Juliet's death is negative.
2	24	-3	Friar's letter not getting to Romeo sets up a tragedy.
2	25	-5	Young lovers committing suicide is a tragedy.

3	0	0	The prologue is just situation setup.
3	1	-2	The scene establishes that Romeo's suffering, and that there's trouble between the two houses.
3	2	0	The scene serves as a transition to the party, and isn't in itself particularly interesting.
3	3	-1	Juliet's being lectured about what she ought to do.
3	4	0	It's pretty much a replay of the past interaction with Romeo.
3	5	3	It's the first time Romeo and Juliet meet, and the scene is presented dramatically.
3	6	0	It's just a recap of what we already saw.
3	7	1	Romeo is taking charge and making things happen.
3	8	4	It's the famous and iconic window scene that the whole movie is built around.
3	9	1	The scene shows the possibility of a resolution of the inter-house feud.
3	10	2	A ribald comedic moment to lighten tension.
3	11	1	More lightheartedness before things turn grim.
3	12	2	Another scene of Romeo and Juliet together, expressing their love for each other.
3	13	-4	Death of Mercutio and Tybalt, the first indicator that things are turning for the serious.
3	14	-3	Juliet angsting about what happened to Romeo.
3	15	-3	Romeo angsting about what happened to him.
3	16	-2	Capulet introduces an extra element of tension.
3	17	-2	Juliet being pressed into an intractable situation.
3	18	2	The Friar suggests a possible way out of the impasse.
3	19	1	We see Juliet beginning to set the stage for her scheme.
3	20	-3	Juliet angsting some more.
3	21	0	A transition scene with the supporting characters, not particularly emotional one way or another.
3	22	2	Juliet is dead and everyone is mourning, but the audience know's it's part of the ruse.
3	23	-4	Romeo thinks Juliet's really dead and wants to join her.
3	24	-4	A transition scene that nonetheless manages to maintain tension.
3	25	0	Complicated scene. There's a major negative emotional moment with the Romeo and Juliet deaths, but then there's a positive ending where it's implied that the houses have, to some extent, reconciled.

4	0	-3	It's almost more neutral, but it does state that Romeo and Juliet take their lives.
4	1	-3	This scene is setting up the rivalry between the families and the tension/fighting that exists.
4	2	3	Romeo is falling in love.
4	3	0	Juliet's mother is telling her she is old enough to be married and who she will marry.
4	4	-1	Romeo starts off sad, but his spirits lift toward the end.
4	5	-5	The meet and kiss, but find out which families the other belongs too.
4	6	2	They are determined to find a way to make their love work.
4	7	1	Romeo heads into the orchard to talk to Juliet.
4	8	5	They profess their love to each other.
4	9	3	The friar agrees to marry the couple.
4	10	3	The nurse agrees to get Julia to go the Friar's and to help Romeo
